Layer,Name,GEOID,Population,VRFIR_2019-2023,VRFIR_2019-2023_se,HCSRC_2023-2024,HCSRC_2023-2024_se,HCSPCP_2023-2024,HCSPCP_2023-2024_se,UNS_2019-2023,UNS_2019-2023_se,HCSNC_2023-2024,HCSNC_2023-2024_se,CZA_2024,CZA_2024_se,CZD_2024,CZD_2024_se,CZH_2024,CZH_2024_se,CZM_2024,CZM_2024_se,CZR_2024,CZR_2024_se,CZS_2024,CZS_2024_se,CZV_2024,CZV_2024_se,HCSNVP_2023-2024,HCSNVP_2023-2024_se,CHAOVXP_2018-2022,CHAOVXP_2018-2022_se,HTJ_2019-2023,HTJ_2019-2023_se,FAI_2020,FAI_2020_se,LFA_2019,LFA_2019_se,PCP_2011,PCP_2011_se,HCSHYT_2023-2024,HCSHYT_2023-2024_se,VRBW_2019-2023,VRBW_2019-2023_se,HCSNS_2023-2024,HCSNS_2023-2024_se,HCSTLE_2023-2024,HCSTLE_2023-2024_se,HCSTLG_2023-2024,HCSTLG_2023-2024_se,EDB_2019-2023,EDB_2019-2023_se,EDA_2019-2023,EDA_2019-2023_se,UMP_2019-2023,UMP_2019-2023_se,HTA_2019-2023,HTA_2019-2023_se,INC_2019-2023,INC_2019-2023_se,PCI_2019-2023,PCI_2019-2023_se,POV_2019-2023,POV_2019-2023_se,SNQ_2019-2023,SNQ_2019-2023_se,TNF_2019-2023,TNF_2019-2023_se,VRTEEN_2019-2023,VRTEEN_2019-2023_se,FOR_2019-2023,FOR_2019-2023_se,LEQ_2019-2023,LEQ_2019-2023_se,PCT-W_2019-2023,PCT-W_2019-2023_se,POP_2019-2023,POP_2019-2023_se,VRSU_2019-2023,VRSU_2019-2023_se,VRDO_2019-2023,VRDO_2019-2023_se,VFHO_2019-2023,VFHO_2019-2023_se,VRFI_2019-2023,VRFI_2019-2023_se,VRHOR_2019-2023,VRHOR_2019-2023_se,VRLE_2023,VRLE_2023_se
(Indicator name),,,,"Firearm-related homicide mortality rate (per 100,000 population), 2019-2023",(Standard error),"Routine checkup (count of adults), 2023-2024",(Standard error),"Primary care provider (count of adults), 2023-2024",(Standard error),"Uninsured rate (% of residents), 2019-2023",(Standard error),"Received needed care (count of adults), 2023-2024",(Standard error),"Aggravated assault/battery (crimes), 2024",(Standard error),"Drug abuse (crimes), 2024",(Standard error),"Homicide (crimes), 2024",(Standard error),"Major crime (crimes), 2024",(Standard error),"Robbery (crimes), 2024",(Standard error),"Criminal sexual assault (crimes), 2024",(Standard error),"Violent crime (crimes), 2024",(Standard error),"Perceived neighborhood violence rate (% of adults), 2023-2024",(Standard error),"Households (count of households), 2018-2022",(Standard error),"Crowded housing (% of occupied housing units), 2019-2023",(Standard error),"Food insecurity (% of residents), 2020",(Standard error),"Low food access (% of residents), 2019",(Standard error),"Primary care physicians (physicians), 2011",(Standard error),"Hypertension (count of adults), 2023-2024",(Standard error),"Low birthweight (count of births), 2019-2023",(Standard error),"Perceived neighborhood safety (count of adults), 2023-2024",(Standard error),"Trust in law enforcement (counts of adults), 2023-2024",(Standard error),"Trust in local government (counts of adults), 2023-2024",(Standard error),"High school graduation rate (% of residents), 2019-2023",(Standard error),"9th grade education rate (% of residents), 2019-2023",(Standard error),"Unemployment rate (%), 2019-2023",(Standard error),"Single-parent households (% of households), 2019-2023",(Standard error),"Median household income, 2019-2023",(Standard error),"Per capita income, 2019-2023",(Standard error),"Poverty rate (% of residents), 2019-2023",(Standard error),"Households in poverty not receiving food stamps (SNAP) (% of households below the poverty line), 2019-2023",(Standard error),"Public assistance income (cash welfare) (% of households), 2019-2023",(Standard error),"Teen births (count of births), 2019-2023",(Standard error),"Foreign born (% of residents), 2019-2023",(Standard error),"Limited English proficiency (% of residents), 2019-2023",(Standard error),"Demographics, Non-Hispanic White (% of residents), 2019-2023",(Standard error),"Population (residents), 2019-2023",(Standard error),"Suicide mortality (count of deaths), 2019-2023",(Standard error),"Drug overdose mortality (count of deaths), 2019-2023",(Standard error),"Homicide mortality (count of deaths), 2019-2023",(Standard error),"Firearm-related homicide mortality (count of deaths), 2019-2023",(Standard error),"Homicide mortality rate (per 100,000 population), 2019-2023",(Standard error),"Life expectancy (years), 2023",(Standard error)
(Definition),,,,"Age-adjusted rate of people who died due to firearm-related homicide.",,"Number of adults who visited a doctor or health care provider for a routine checkup in the past year.",,"Number of adults who report that they have at least one person they think of as their personal doctor or health care provider.",,"Percent of residents without health insurance (at the time of the survey).",,"Number of adults who report that it is 'usually' or 'always' easy to get the care, tests or treatment they needed through their health plan.",,"Aggravated assault and aggravated battery crimes. Aggravated assault is an unlawful attack by one person upon another, wherein the offender displays a weapon in a threatening manner. Aggravated battery is the physical attack itself, wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",,"Drug abuse crimes. Drug abuse is defined as the violation of laws prohibiting the production, distribution, and/or use of certain controlled substances and the equipment or devices utilized in their preparation and/or use. While not defined as a major crime, drug abuse rates are included here to show policing and enforcement patterns that may be disproportate to the true underlying rate of use by different populations.",,"First and second degree murder cases.",,"The most serious offenses, also known as index crimes. Includes homicide, criminal sexual assault, robbery, aggravated assault, aggravated battery, burglary, larceny, vehicle theft, and arson.",,"Robbery crimes. Robbery is defined as the taking or attempting to take anything of value under confrontational circumstances from the control, custody, or care of another person by force or threat of force or violence and/or by putting the victim in fear of immediate harm.",,"Criminal sexual assault crimes. Criminal sexual assault is defined as any sexual act directed against another person, forcibly and/or against that person's will or not forcibly or against the person's will in instances where the victim is incapable of giving consent, including and especially rape.",,"Crimes related to violence. Includes homicide, criminal sexual assault, robbery, aggravated assault, and aggravated battery.",,"Percent of adults who reported violence occurs in their neighborhood 'every day' or 'at least every week'",,"The composition of households.",,"Percent of occupied housing units with more than one occupant per room (e.g. three occupants in a one-bedroom apartment).",,"Percentage of the population experiencing food insecurity at some point. Food insecurity is the household-level economic and social condition of limited or uncertain access to adequate food, as represented in USDA food-security reports. 2020 data is a projection based on 11.5% national unemployment and 16.5% national poverty rate.",,"Percent of residents who have low access to food, defined solely by distance: further than 1/2 mile from the nearest supermarket in an urban area, or further than 10 miles in a rural area.",,"Number of clinically active primary care physicians. Includes hospital residents. Excludes federal physicians and physicians age 75 or older.",,"Number of adults who reported that a doctor, nurse or other health professional has diagnosed them with high blood pressure (excludes borderline high, pre-hypertensive or hypertension diagnosed only during pregnancy) .",,"Number of births with birthweight less than 2500 grams (5.5 pounds).",,"Number of adults who report that they feel safe in their neighborhood 'all of the time' or 'most of the time'.",,"Number of adults who reported they trust their local law enforcement agency 'a great extent' or 'somewhat'",,"Number of adults who reported they trust their local government to do what is right for their community 'a great extent' or 'somewhat'",,"Residents 25 or older with at least a high school degree: including GED and any higher education",,"Residents 25 or older with at least a 9th grade education",,"Percent of residents 16 and older in the civilian labor force who are actively seeking employment.",,"Percentage of households that have children present and are headed by a single parent (mother or father), with no partner present.",,"Income in the past 12 months.",,"Income in the past 12 months.",,"Percent of residents in families that are in poverty (below the Federal Poverty Level).",,"Percent of households with income in the past 12 months below the poverty level who did not receive food stamps/SNAP in the past 12 months.",,"Percent of households reporting public assistance income over the past 12 months. This includes general assistance and Temporary Aid to Needy Families (TANF), or cash public assistance. This excludes Supplemental Security Income (SSI) and noncash benefits such as food stamps.",,"Number of births where the mother is aged 15-19 years at time of delivery.",,"Percent of residents who were not U.S. citizens at the time of birth (includes both naturalized citizens and those who are not currently citizens).",,"Percentage of residents 5 years and older who do not speak English 'very well'.",,"Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.",,"Average population over the time period.",,"Number of people who died due to suicide.",,"Number of people who died due to drug overdose.",,"Number of people who died due to homicide.",,"Number of people who died due to firearm-related homicide.",,"Age-adjusted rate of people who died due to homicide.",,"The average number of years a person may expect to live.",
(Citation),,,,"Illinois Department of Public Health, Death Certificate Data Files",,"Chicago Department of Public Health, Healthy Chicago Survey",,"Chicago Department of Public Health, Healthy Chicago Survey",,"American Community Survey (Tables B27001/C27001)",,"Chicago Department of Public Health, Healthy Chicago Survey",,"Crime data portal",,"Crime data portal",,"Crime data portal",,"Crime data portal",,"Crime data portal",,"Crime data portal",,"Crime data portal",,"Chicago Department of Public Health, Healthy Chicago Survey",,"American Community Survey (ACS)",,"American Community Survey (Table B25014)",,"Map the Meal Gap (Map the Meal Gap 2020)",,"USDA, Economic Research Service, Food Access Research Atlas (Food Access Research Atlas)",,"Area Health Resources Files (From the AMA Masterfiles via the HRSA Primary Care Service Area data (TG_DOC))",,"Chicago Department of Public Health, Healthy Chicago Survey",,"Illinois Department of Public Health, Birth Certificate Data Files",,"Chicago Department of Public Health, Healthy Chicago Survey",,"Chicago Department of Public Health, Healthy Chicago Survey",,"Chicago Department of Public Health, Healthy Chicago Survey",,"American Community Survey (Table B15002)",,"American Community Survey (ACS) (Table B15002)",,"American Community Survey (Tables B23025, B23001, and C23002)",,"American Community Survey (Table B11012)",,"American Community Survey (Table B19013)",,"American Community Survey (Table B19301)",,"American Community Survey (Table B17001)",,"American Community Survey (Table B22003)",,"American Community Survey (Table B19057)",,"Illinois Department of Public Health, Birth Certificate Data Files",,"American Community Survey (Table B05002)",,"American Community Survey (Table B16004)",,"American Community Survey (Table B01001)",,"American Community Survey (ACS: Table B01001; Decennial Census: Table P012)",,"Illinois Department of Public Health, Death Certificate Data Files",,"Illinois Department of Public Health, Death Certificate Data Files",,"Illinois Department of Public Health, Death Certificate Data Files",,"Illinois Department of Public Health, Death Certificate Data Files",,"Illinois Department of Public Health, Death Certificate Data Files",,"Illinois Department of Public Health, Death Certificate Data Files",
---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Community area,Rogers Park,1,55454,6.5,2.3,32700.0,4238.7090989,39400.0,4816.6656604,12.460040437016644,1.2456669521032504,29100.0,3923.4585081,163.7513217754412,,52.4309407768988,,5.487062036659399,,1760.9071977353642,,101.7077080024377,,27.257049954680006,,298.2031417692183,,34.801957182,5.0868521087,25474.497515,,5.024168519570001,1.2823623160888749,21.318699812198872,,5.678961566556456,,16.900512,,15600.0,3436.9568042,202.0,,39100.0,5008.6848383,15800.0,2641.5550457,19500.0,3174.9539481,89.86383172495925,3.2167952248498257,93.63819678443889,3.2756227996582523,6.220927395047369,1.2069671948580976,2.674186653622621,0.7060226878002325,58876.167675038574,3777.9044620142145,38184.30709579853,1548.140279046287,17.4494801100695,1.7852744777534517,61.99256522285772,4.680297696897806,4.400632420454388,0.8958092921112788,60.0,,23.932210602773804,1.7258274077956859,14.602505358199714,1.3119722305509804,45.330707203068265,1.8953478252406613,54255.11722206763,,27.0,,84.0,,20.0,,17.0,,6.5,2.9,77.29515555,
Community area,Norwood Park,10,41069,0.0,0.6,22400.0,3082.355859,22600.0,3091.8477065,3.663560943743238,0.8418089148438318,19500.0,2865.5942247,36.016278484275496,,5.473689927032182,,0.1290955808910799,,468.347596896533,,10.453459720939165,,7.108775366058021,,53.70760915216377,,15.594625306,5.0210097299,16275.212397,,1.056622502462732,0.7580058373655588,11.255016895152057,,57.98229505067905,,67.083546,,9500.0,2070.5471916,122.0,,20600.0,2903.5983226,19700.0,2873.5732169,13200.0,2417.9841308,93.20637992545319,2.0051338688209306,96.29544029854094,1.9650800759275218,4.219936634538581,1.2036895362127495,4.70499276225169,1.1541637910097529,111519.3461466861,5865.384297049181,53454.989282171104,2607.847234429045,6.5106523500017035,1.6160007195930062,94.31415335754778,27.093449097560917,3.348097468359236,0.8461036782412367,9.0,,20.7340569141052,1.559936465296797,14.284486841890024,1.1059740141698151,72.0717363638236,2.1417969617304733,41791.259018479745,,25.0,,31.0,,2.0,,1.0,,0.0,1.1,82.64341004,
Community area,Jefferson Park,11,26201,4.2,3.0,17100.0,2797.0825836,18500.0,2856.9048001,7.013656883451423,1.0058777160339707,13600.0,2277.734811,41.81714379305886,,14.266169367939488,,0.872541100292978,,476.96144501629107,,22.384794449816,,3.448513608532627,,68.52299295170046,,11.585224545,3.3870320536,10733.2006,,1.5508219107976213,0.832118000977465,12.999727397001367,,9.38820742416371,,15.96428,,6600.0,1294.3810559,93.0,,20500.0,3285.865316,16900.0,2992.6452597,8800.0,2180.2099066,92.26454361863694,2.6385837730722637,96.05028157191158,4.148571477690892,5.362913613022418,1.5263160634509028,4.783657150269154,1.5916054990708288,95955.59048267649,6286.18288298701,45726.074578048036,1772.8978189500283,5.9484729967871885,1.3714390179794933,66.70119685535546,7.1903401162046565,2.8066421547744493,1.4937949524561573,14.0,,25.254355272413694,2.2772441077203642,16.443521630918166,1.25176333330061,57.6594424912226,2.3469931270124196,26624.873413183028,,10.0,,23.0,,6.0,,5.0,,4.2,3.6,80.28693648,
Community area,Forest Glen,12,19579,0.0,1.6,10800.0,1766.5068806,12200.0,1867.7464831,6.17133603069892,1.366038970425431,11600.0,1832.0026699,24.598260538018952,,8.103395819418646,,0.7235222773240609,,377.9053203527857,,13.809781261210711,,3.1859279081777676,,42.31749198473149,,,,7030.9943751,,0.5346357487290451,0.8279240474070059,9.53156250500008,,17.519884553382333,,15.984578,,5600.0,1331.3062655,51.0,,12400.0,1869.2436337,12000.0,1860.5218284,7600.0,1485.7699939,96.12213334876965,4.930610901835493,97.46879850892145,4.984021136047293,4.3998403014275445,1.574783944739373,2.139855411141673,0.9562375133217019,142351.108879348,10379.72775316291,72270.5532814171,6950.682606289816,4.221761675000576,1.498344583865062,74.15965703064612,40.51096340606307,3.2000859409152005,1.5956120674119971,3.0,,17.744343787682865,2.30291452980246,13.842071272415549,1.607373307953021,73.42022627927145,2.9213128384644897,19506.99723779994,,12.0,,8.0,,1.0,,1.0,,0.0,1.6,82.39595435,
Community area,North Park,13,17522,6.3,4.1,9500.0,1946.631428,12300.0,2314.2233686,10.208930157806279,1.6562885012411663,7300.0,1544.9259218,73.18055810359596,,19.228066835901757,,2.5276123528822727,,813.91988200937,,50.52959934143564,,11.158356010435018,,137.39612580834887,,12.894402576,4.4759244324,6791.1415756,,5.9996180695248755,2.2898094089063603,15.913642377350907,,76.7781154091305,,18.292615,,6100.0,1634.1110976,68.0,,11400.0,2288.0520301,7900.0,1605.9841617,6300.0,1657.5089557,90.15341006067177,7.050432979199509,93.90158139284516,7.532414983696634,4.271074521262023,1.8099713770285613,5.59317387084609,1.8207883276104098,68943.20226435733,10006.88355834085,38200.33097677428,3049.125090021251,16.434458811927673,4.092206234918078,46.41905979552002,7.293830551453485,3.5285593624332403,1.54624124489051,11.0,,40.31871654149775,3.342701309483466,24.70965349077636,1.0689828844784894,42.81642473116129,4.095590390912174,18678.762797771207,,10.0,,8.0,,8.0,,6.0,,6.3,5.7,81.12446441,
Community area,Albany Park,14,48549,3.4,2.8,35200.0,4902.9949594,36100.0,4920.616597,18.83759543467433,1.7273798733356545,23500.0,3852.80051,71.52818609904614,,17.769254349071723,,2.3913750497204505,,704.4211276138157,,42.2758025031396,,10.81294523556444,,127.00830888747063,,23.009672438,5.4615768253,17147.607619,,4.078644705612862,0.9018453511021791,15.296628373026982,,3.897791362842775,,12.178538,,10500.0,2691.4137243,223.0,,27300.0,3985.2914069,18900.0,3043.9664205,17400.0,2945.8510032,81.7761815132278,2.8941375251791257,86.8434607222716,3.118832535918558,6.504810692534603,1.4188578845964925,5.956299958457396,1.157886137613536,83578.42430472354,5756.728732737083,40848.849293610474,2005.46848708712,13.618950810556399,1.7659523690441705,60.43192146851538,9.063230903821005,2.9810746204341125,0.7165876427945379,89.0,,38.89588003858317,2.4042205286543186,22.501835718918528,1.2136401303741249,33.61277452049545,1.7659663632447502,46804.284507540346,,22.0,,55.0,,18.0,,13.0,,3.4,3.5,80.71656419,
Community area,Portage Park,15,63038,1.6,1.6,37200.0,4578.0794145,43300.0,5383.1451097,12.551883241208404,0.926956717712262,30900.0,4440.9652569,129.8887174300125,,43.05852868645818,,1.1455166650941129,,1343.6253352126719,,78.71057143128866,,12.035257623539003,,221.78006314993428,,15.590499887,3.9060170323,23002.176294,,3.262852924572017,0.7394945997904293,13.791707908292093,,24.825778700209526,,38.987842,,19200.0,3287.0894816,267.0,,36500.0,4584.2830249,27900.0,4369.8990792,20700.0,3663.7376273,88.40360886614367,2.4804714408409834,93.81999423694253,3.304244997321411,4.531794460666926,0.8413552797973128,5.326814801679148,1.03581532384403,89727.84680108806,4610.5809601763085,41742.320663489234,1319.699017533346,9.688275443183121,1.2076844400647468,58.16067052666049,5.864855297427099,2.202305126695172,0.5630131410701541,69.0,,30.47893042270656,1.6106080390433517,21.38225118012462,0.777019067483151,48.31345348650228,1.7997699550429451,61811.44487970302,,39.0,,97.0,,15.0,,8.0,,4.9,2.5,80.16717719,
Community area,Irving Park,16,51911,1.8,1.8,26800.0,3340.7403987,27700.0,3271.9338806,10.184626445426579,0.8379800588277343,21800.0,2877.8519892,125.68125479094002,,32.948217029029195,,1.1737060293539678,,1523.803694237045,,91.19984432441345,,13.455191429310512,,231.50999657401792,,13.288071193,3.8803411523,21812.434559,,2.969514800716886,0.7766601120833235,12.46597523195046,,15.215599023258303,,11.978078,,12800.0,2424.2686523,248.0,,31100.0,3818.1809926,19900.0,3069.6859018,18600.0,2891.4190835,87.65789528852285,2.405235847394061,91.86807063490693,2.655013135743318,6.225681157604156,1.0719195745373407,6.022223315276754,1.169542993761647,89589.08389481352,5997.578063152141,48622.54895937907,1860.6165797902884,10.53274037488431,1.3552040713951403,62.91589433254933,7.247022522399922,2.9808798455196936,0.641646421491366,58.0,,26.153621942185065,1.5627167098084296,17.60976934192282,0.689681444725203,43.79454125399038,1.4664584544712356,53799.21724837432,,15.0,,59.0,,10.0,,7.0,,1.8,2.6,81.29441083,
Community area,Dunning,17,43120,5.3,2.7,26300.0,3433.4945938,27300.0,3537.3746058,8.340185887954489,0.9109774003979306,21000.0,3298.2247227,70.56235796361311,,15.097271242575287,,0.8260379003668573,,768.7093247270533,,36.21435397866892,,10.415151059399278,,118.01790090204817,,9.3702986251,2.9806395616,16188.408952,,2.570934858460028,0.9377625955396982,11.69204414198639,,47.36047938175431,,23.984867,,12500.0,2450.5231312,187.0,,26000.0,3595.7262972,22900.0,3428.224581,17200.0,3002.34325,89.0554349365489,2.1076166494470017,94.0534664411003,2.435718631846365,5.414150284103443,1.2296392359434039,4.080084452657444,1.0921052367284882,84669.03586641549,5510.011586330463,40403.493034329345,1542.298430434245,8.649306449718223,1.4204706945299053,83.26070050824279,6.661670951145062,2.4785985215939568,0.7634387334104543,38.0,,31.6280715284143,1.8183577988016741,22.317646684088693,1.0944973928969761,54.17743965943235,2.6369638615559317,41790.54391885413,,20.0,,50.0,,12.0,,10.0,,5.3,3.2,80.13487151,
